ceoRating,ceoRatingsCount,businessOutlookRating,compensationAndBenefitsRating,cultureAndValuesRating,careerOpportunitiesRating,overallRating,recommendToFriendRating,seniorManagementRating,workLifeBalanceRating,reviewCount,diversityAndInclusionRating,recomend,url
0.93,431,0.83,4.3,4.5,4.1,4.5,0.91,4.1,4,2066,4.6,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Mercado-Livre-EI_IE2372230.13,26.htm"
0.93,431,0.83,4.3,4.5,4.1,4.5,0.91,4.1,4,2066,4.6,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Mercado-Livre-EI_IE2372230.13,26.htm"
-1,0,0.95,4.5,4.7,4.8,4.7,0.97,4.7,4.6,60,4.8,97,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Meu-Tudo-EI_IE2842333.13,21.htm"
-1,0,0.78,4.2,4.1,4.1,4.4,0.92,3.6,4.1,147,4,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Movile-EI_IE301687.13,19.htm"
0.46,272,0.52,3.2,3.3,3.5,3.5,0.66,2.8,3.5,477,3.8,66,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-N26-EI_IE1032903.13,16.htm"
0.46,272,0.52,3.2,3.3,3.5,3.5,0.66,2.8,3.5,477,3.8,66,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-N26-EI_IE1032903.13,16.htm"
-1,0,0.85,4.5,4.5,4.4,4.5,0.91,4.1,4.3,435,4.6,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Neon-Pagamentos-EI_IE2342778.13,28.htm"
0.91,882,0.84,4.7,4.3,4,4.3,0.87,4,3.7,1494,4.4,87,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Netflix-EI_IE11891.13,20.htm"
-1,0,0.9,3.8,4.4,4.6,4.6,0.9,4.2,4.2,29,4.8,90,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Nexoos-EI_IE1646586.13,19.htm"
-1,0,0.6,3.5,3.7,3.8,3.7,0.64,3.6,4,21,3.6,64,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Noverde-EI_IE2128189.13,20.htm"
0.93,43,0.9,4.4,4.6,4.3,4.5,0.92,4.3,4.4,320,4.4,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Olist-EI_IE2315236.13,18.htm"
-1,0,0.83,4.2,4.5,4.1,4.5,0.93,4.1,4.4,525,4.6,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-OLX-Brasil-EI_IE2500798.13,23.htm"
0.98,18,0.81,4.5,4.5,4.3,4.6,0.91,4.3,4.3,35,4.6,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Open-Co-EI_IE4806570.13,20.htm"
-1,0,0.67,3.7,4,4.1,4,0.81,3.5,3.6,140,3.7,81,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Pagar-me-EI_IE1341379.13,21.htm"
-1,0,0.74,4.1,3.9,3.9,4.3,0.88,3.7,4,893,4.1,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-PagBank-PagSeguro-EI_IE1335500.13,30.htm"
-1,0,0.74,4.1,3.9,3.9,4.3,0.88,3.7,4,893,4.1,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-PagBank-PagSeguro-EI_IE1335500.13,30.htm"
0.89,2532,0.75,4.1,4.1,3.7,4.1,0.8,3.6,3.9,5400,4.2,80,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-PayPal-EI_IE9848.13,19.htm"
0.88,120,0.74,3.7,3.9,3.7,3.8,0.78,3.4,3.7,449,4,78,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-PayU-EI_IE1018226.13,17.htm"
0.89,111,0.82,3.9,4.2,4.2,4.3,0.93,4,4,346,4.4,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-PedidosYa-EI_IE1275051.13,22.htm"
-1,0,0.77,4.2,4.4,4.1,4.4,0.89,3.9,4.2,766,4.4,89,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-PicPay-EI_IE2020252.13,19.htm"
0.95,56,0.88,4.5,4.6,4.3,4.6,0.92,4.2,4.4,152,4.4,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Pipefy-EI_IE1469776.13,19.htm"
-1,0,0.93,4.9,4.9,4.7,4.8,0.93,4.8,4.6,22,5,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Pipo-Sa%C3%BAde-EI_IE3504342.13,23.htm"
-1,0,0.91,4.5,4.4,4.5,4.7,0.91,4.4,4.3,70,4.3,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Pismo-EI_IE2744250.13,18.htm"
-1,0,0.71,3.9,4.5,4.2,4.3,0.75,4,3.2,28,4.7,75,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Platzi-EI_IE1485738.13,19.htm"
0.98,155,0.83,4.1,4.4,4.2,4.4,0.89,4.1,4,938,4.6,89,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-QuintoAndar-EI_IE1161693.13,24.htm"
0.76,402,0.63,3.6,3.5,3.9,3.8,0.75,3.5,3,1126,4.1,75,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Rappi-EI_IE1275894.13,18.htm"
0.99,92,0.9,4.3,4.8,4.6,4.7,0.96,4.5,4.4,521,4.7,96,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-RD-Station-EI_IE965847.13,23.htm"
0.99,30,0.94,4.4,4.8,4.4,4.6,0.96,4.3,4.5,105,4.9,96,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-RecargaPay-EI_IE1397947.13,23.htm"
